adolescente_id,age,gender
1,14,Male
2,19,Female
3,17,Female
4,15,Male
5,15,Female
6,19,Female
7,18,Female
8,16,Male
9,19,Female
10,15,Male
11,16,Male
12,13,Male
13,16,Male
14,17,Female
15,15,Male
16,14,Female
17,13,Male
18,16,Male
19,16,Female
20,14,Female
21,16,Male
22,18,Male
23,18,Male
24,18,Female
25,18,Female
26,13,Female
27,14,Female
28,19,Male
29,14,Male
30,16,Female
31,13,Male
32,13,Female
33,16,Male
34,14,Male
35,13,Female
36,17,Female
37,19,Female
38,17,Female
39,17,Female
40,17,Female
41,14,Male
42,19,Male
43,14,Female
44,15,Male
45,14,Male
46,14,Female
47,18,Male
48,13,Female
49,16,Male
50,14,Male
51,13,Male
52,18,Male
53,18,Male
54,13,Female
55,18,Male
56,15,Female
57,18,Male
58,16,Male
59,13,Male
60,17,Female
61,18,Male
62,15,Female
63,13,Male
64,17,Male
65,19,Female
66,17,Male
67,13,Male
68,17,Male
69,14,Female
70,15,Male
71,14,Male
72,16,Female
73,16,Female
74,14,Male
75,14,Male
76,17,Female
77,13,Male
78,13,Male
79,15,Male
80,18,Male
81,18,Female
82,19,Female
83,14,Male
84,13,Male
85,16,Female
86,17,Female
87,18,Male
88,17,Female
89,17,Female
90,18,Male
91,17,Female
92,18,Female
93,18,Male
94,17,Female
95,13,Female
96,15,Female
97,13,Male
98,13,Female
99,18,Male
100,16,Male
101,13,Male
102,18,Female
103,13,Male
104,18,Male
105,15,Male
106,13,Female
107,18,Male
108,13,Male
109,14,Male
110,17,Male
111,16,Male
112,17,Female
113,13,Male
114,15,Male
115,13,Male
116,17,Female
117,15,Male
118,19,Female
119,17,Male
120,17,Female
121,13,Male
122,15,Female
123,17,Female
124,18,Male
125,16,Male
126,19,Male
127,16,Male
128,13,Male
129,18,Female
130,13,Female
131,13,Female
132,15,Male
133,17,Male
134,18,Male
135,16,Female
136,13,Male
137,18,Male
138,17,Male
139,14,Female
140,15,Female
141,13,Female
142,19,Male
143,13,Male
144,18,Female
145,18,Male
146,14,Male
147,14,Male
148,16,Male
149,15,Female
150,14,Male
151,19,Female
152,16,Male
153,13,Female
154,13,Male
155,16,Male
156,15,Male
157,19,Male
158,17,Female
159,15,Female
160,13,Male
161,16,Female
162,19,Male
163,19,Male
164,15,Female
165,16,Female
166,17,Male
167,13,Female
168,15,Female
169,15,Female
170,15,Male
171,13,Female
172,17,Female
173,18,Male
174,19,Male
175,15,Male
176,18,Female
177,15,Male
178,14,Male
179,18,Female
180,14,Female
181,13,Male
182,17,Male
183,15,Male
184,15,Female
185,17,Female
186,17,Female
187,15,Female
188,17,Female
189,16,Female
190,13,Male
191,16,Female
192,13,Male
193,14,Male
194,14,Female
195,18,Female
196,15,Female
197,16,Male
198,17,Female
199,18,Male
200,17,Female
201,13,Male
202,16,Female
203,15,Female
204,19,Male
205,17,Male
206,19,Female
207,16,Female
208,15,Male
209,15,Male
210,16,Male
211,18,Female
212,16,Male
213,16,Male
214,18,Female
215,13,Male
216,13,Female
217,15,Male
218,19,Male
219,13,Male
