adolescente_id,daily_social_media_hours,platform_usage,screen_time_before_sleep
1,7.9,Instagram,2.9
2,1.9,TikTok,2.9
3,1.3,Instagram,0.5
4,7.4,TikTok,1.6
5,4.7,Both,3.0
6,7.4,Both,2.4
7,2.5,Instagram,2.4
8,4.0,Both,0.5
9,3.3,TikTok,2.1
10,1.9,TikTok,1.5
11,7.2,Both,2.9
12,4.9,Instagram,2.5
13,6.2,Both,2.6
14,6.8,TikTok,1.1
15,5.7,TikTok,0.8
16,3.6,Both,0.6
17,1.5,Both,1.4
18,3.1,Both,0.8
19,6.7,Both,1.9
20,1.2,Instagram,1.0
21,3.4,TikTok,2.1
22,4.1,Both,2.4
23,5.3,Instagram,1.2
24,2.3,TikTok,0.5
25,2.4,Both,1.9
26,1.5,Both,2.5
27,5.7,Both,0.6
28,2.0,TikTok,0.9
29,2.5,TikTok,2.9
30,3.4,TikTok,2.8
31,6.6,TikTok,2.5
32,1.6,Instagram,2.5
33,2.7,Instagram,2.4
34,4.1,TikTok,3.0
35,6.6,TikTok,1.6
36,5.0,Both,2.1
37,4.6,Instagram,2.5
38,4.8,Instagram,1.3
39,1.3,TikTok,2.0
40,6.3,Instagram,1.0
41,6.4,Instagram,0.9
42,1.6,Instagram,2.4
43,7.3,Instagram,1.4
44,4.0,Both,1.3
45,5.2,Both,2.1
46,4.5,TikTok,0.9
47,6.8,TikTok,1.1
48,3.5,Instagram,1.1
49,2.3,TikTok,3.0
50,1.2,Instagram,1.8
51,6.2,Both,2.2
52,4.5,TikTok,1.9
53,2.9,Instagram,2.5
54,5.8,TikTok,2.3
55,6.8,Instagram,2.7
56,7.4,Instagram,0.9
57,4.5,TikTok,2.5
58,6.4,TikTok,2.4
59,7.3,Both,1.3
60,7.1,Instagram,0.6
61,1.6,TikTok,2.7
62,1.5,Instagram,1.0
63,4.3,Both,0.7
64,2.5,Both,2.0
65,7.9,TikTok,1.7
66,2.7,Instagram,2.6
67,3.1,TikTok,1.5
68,5.8,Both,0.7
69,3.9,Both,2.8
70,7.5,Both,0.9
71,5.2,Both,2.0
72,3.1,TikTok,1.1
73,2.0,Instagram,1.2
74,2.7,Instagram,1.3
75,1.5,Both,2.1
76,6.9,Instagram,0.8
77,1.1,TikTok,1.8
78,3.4,TikTok,0.6
79,6.7,Both,2.1
80,1.1,Both,1.0
81,7.4,Instagram,2.3
82,4.8,TikTok,1.5
83,1.2,Both,2.2
84,7.4,Instagram,1.4
85,2.6,Both,1.3
86,5.0,Both,2.5
87,7.5,Instagram,1.8
88,5.4,Both,2.5
89,5.6,Instagram,1.7
90,6.2,Instagram,2.8
91,4.7,Instagram,2.4
92,4.0,Instagram,2.2
93,6.2,TikTok,1.5
94,5.6,TikTok,2.0
95,4.0,Instagram,2.5
96,1.8,Instagram,2.4
97,3.1,TikTok,1.9
98,3.5,TikTok,2.5
99,7.4,TikTok,2.2
100,8.0,Instagram,1.4
101,5.1,Both,1.6
102,2.4,Instagram,1.3
103,1.6,Instagram,1.5
104,5.8,Instagram,1.9
105,2.7,TikTok,1.9
106,4.0,Both,1.0
107,3.2,Both,1.2
108,1.6,TikTok,0.6
109,2.3,TikTok,2.5
110,7.7,TikTok,1.2
111,4.8,Both,0.6
112,5.2,Both,0.6
113,5.7,Both,2.4
114,4.6,TikTok,1.4
115,4.3,TikTok,2.7
116,4.1,Instagram,3.0
117,6.5,Both,2.0
118,7.8,Both,2.1
119,6.5,Instagram,2.7
120,3.2,TikTok,0.6
121,2.4,TikTok,0.8
122,4.0,Instagram,2.1
123,6.0,Both,1.3
124,1.2,TikTok,1.7
125,5.7,Both,2.8
126,6.5,Both,2.3
127,6.6,Instagram,0.8
128,6.0,TikTok,1.5
129,1.1,Both,2.7
130,3.8,Instagram,1.3
131,4.7,Both,1.7
132,7.4,TikTok,1.3
133,3.9,Instagram,2.4
134,3.1,Instagram,2.9
135,2.6,TikTok,1.7
136,5.0,TikTok,0.6
137,4.5,Instagram,1.6
138,2.1,TikTok,2.0
139,6.4,Instagram,1.1
140,2.3,TikTok,2.6
141,4.4,TikTok,1.3
142,2.3,Instagram,2.3
143,4.3,Instagram,0.7
144,3.9,TikTok,1.8
145,2.9,TikTok,0.9
146,2.1,Instagram,1.1
147,2.1,TikTok,1.4
148,3.8,TikTok,1.3
149,1.1,TikTok,0.7
150,2.5,Both,2.4
151,4.1,Instagram,0.9
152,3.0,Instagram,1.5
153,3.9,Instagram,0.7
154,7.0,TikTok,0.6
155,3.6,Both,1.9
156,7.6,Instagram,2.7
157,1.3,Instagram,0.7
158,2.1,Both,2.1
159,2.7,Both,1.9
160,7.5,Both,2.0
161,6.1,Both,1.7
162,2.4,Both,1.2
163,2.0,TikTok,1.7
164,7.8,TikTok,0.5
165,6.8,TikTok,2.5
166,8.0,Instagram,2.6
167,7.3,Both,2.7
168,1.5,Both,1.2
169,3.4,Instagram,1.8
170,7.3,Both,2.6
171,1.9,TikTok,0.8
172,3.9,Instagram,1.3
173,1.3,Instagram,1.3
174,4.7,TikTok,1.8
175,1.9,TikTok,2.3
176,7.0,Both,1.6
177,6.2,TikTok,1.7
178,3.2,TikTok,1.3
179,4.5,Both,1.4
180,1.1,Both,2.5
181,5.9,Instagram,2.8
182,5.1,Both,2.2
183,1.6,Instagram,2.3
184,7.2,TikTok,1.4
